label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
nature, 22, 0, 6, 3, 12, 35, 9, 7, 12, 41, 80, 11, 8, 1, 31, -79, -88, -64, -88, -58, 7, 7414, 50627, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 98336, 98374, 98374
nature, 16, 4, 2, 3, 9, 33, 10, 8, 12, 37, 74, 11, 11, 1, 30, -77, -83, -65, -91, -62, 8, 10833, 74301, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 98336, 98374, 98374
nature, 18, 1, 2, 3, 10, 32, 10, 8, 12, 39, 51, 10, 10, 1, 27, -77, -86, -65, -88, -58, 8, 12113, 60824, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 98336, 98374, 98374
nature, 17, 4, 0, 3, 8, 35, 9, 7, 12, 40, 51, 10, 10, 1, 29, -77, -85, -66, -92, -60, 9, 8427, 57865, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 98336, 98374, 98374
nature, 21, 0, 5, 3, 11, 35, 9, 7, 12, 45, 51, 12, 9, 1, 23, -77, -87, -61, -88, -59, 6, 7925, 52431, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
