label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
bus, 43, 11, 12, 2, 10, 87, 10, 0, 26, 190, 135, 14, 7, 1, 44, -77, -89, -25, -90, -22, 7, 9257, 44655, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
bus, 42, 6, 17, 3, 8, 82, 9, 0, 24, 179, 157, 14, 7, 1, 23, -77, -89, -27, -92, -23, 5, 5953, 45821, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
bus, 31, 8, 8, 2, 8, 78, 9, 0, 24, 143, 101, 15, 8, 1, 20, -76, -90, -30, -91, -25, 8, 8278, 56341, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
bus, 31, 3, 8, 2, 9, 67, 10, 4, 24, 128, 119, 15, 7, 1, 20, -76, -89, -29, -90, -25, 5, 7423, 48114, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
bus, 26, 4, 2, 2, 7, 82, 9, 6, 24, 149, 119, 16, 9, 1, 19, -73, -90, -28, -91, -26, 8, 12331, 66536, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
