label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
restaurant, 51, 9, 3, 2, 13, 151, 11, 6, 26, 207, 110, 14, 6, 1, 23, -79, -89, -32, -91, -30, 5, 13434, 55699, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
restaurant, 57, 3, 7, 2, 15, 165, 10, 6, 26, 224, 110, 13, 7, 1, 17, -78, -89, -34, -91, -32, 7, 11453, 59232, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
restaurant, 53, 8, 8, 1, 13, 170, 11, 6, 26, 247, 110, 14, 7, 1, 52, -78, -89, -39, -91, -34, 7, 12753, 61758, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
restaurant, 53, 7, 8, 1, 13, 179, 11, 6, 26, 239, 110, 14, 7, 1, 26, -78, -90, -37, -92, -32, 8, 13355, 64051, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
restaurant, 52, 4, 6, 1, 11, 167, 11, 6, 26, 224, 110, 14, 7, 1, 18, -78, -90, -37, -90, -32, 8, 11228, 59914, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
