label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 17, 1, 0, 2, 2, 31, 13, 8, 24, 97, 91, 13, 10, 1, 24, -65, -84, -42, -85, -39, 8, 8508, 59546, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98373, 98373
office, 18, 0, 1, 2, 2, 48, 13, 8, 24, 108, 91, 13, 11, 1, 25, -64, -82, -43, -85, -41, 6, 14958, 66774, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98373, 98373
office, 17, 1, 1, 1, 1, 42, 13, 8, 24, 108, 91, 13, 12, 1, 28, -63, -81, -43, -84, -41, 8, 15329, 66966, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98373, 98373
office, 17, 1, 1, 2, 2, 41, 14, 8, 24, 104, 91, 13, 11, 1, 23, -66, -82, -43, -84, -38, 7, 7373, 59092, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98373, 98373
office, 17, 0, 1, 2, 2, 37, 14, 8, 24, 93, 91, 12, 11, 1, 23, -64, -84, -40, -86, -38, 7, 13734, 64468, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
