label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 13, 0, 1, 1, 1, 29, 12, 8, 24, 88, 91, 13, 13, 1, 27, -70, -85, -45, -85, -42, 5, 6523, 64666, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98363, 98363
office, 12, 1, 1, 1, 1, 18, 12, 8, 24, 85, 62, 13, 14, 1, 33, -68, -86, -44, -86, -41, 5, 4955, 61777, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98363, 98363
office, 12, 0, 0, 1, 1, 29, 10, 8, 12, 89, 82, 13, 13, 1, 23, -69, -85, -45, -86, -43, 6, 7976, 74556, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98363, 98363
office, 12, 0, 0, 1, 1, 22, 10, 8, 12, 85, 82, 14, 13, 1, 23, -69, -86, -45, -86, -42, 5, 5090, 69406, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98363, 98363
office, 12, 7, 0, 1, 1, 20, 11, 8, 12, 93, 82, 14, 14, 1, 36, -70, -86, -44, -87, -41, 6, 8096, 76533, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
