label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
bar, 48, 3, 1, 2, 24, 154, 11, 0, 26, 175, 79, 11, 9, 1, 20, -77, -90, -54, -91, -52, 7, 9634, 69983, 1, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 50, 0, 4, 2, 25, 154, 11, 0, 26, 180, 79, 11, 9, 1, 22, -77, -88, -55, -91, -53, 8, 9812, 67055, 1, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 46, 6, 0, 2, 23, 135, 11, 0, 26, 162, 79, 10, 9, 1, 21, -77, -90, -55, -91, -53, 7, 10842, 68848, 1, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 52, 2, 3, 2, 26, 167, 11, 0, 26, 185, 86, 11, 9, 1, 23, -77, -88, -56, -91, -53, 6, 8964, 66094, 1, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 51, 4, 1, 2, 26, 168, 11, 0, 26, 181, 86, 10, 9, 1, 21, -77, -89, -55, -90, -53, 8, 10352, 69538, 1, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
