label, device_count, lost_devices, new_devices, services, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
train, 57, 5, 4, fd6f-febe-, 2, 15, 232, 18, 4, 246, 444, 29-9-15-26-10-11-18-22-, 140, 18, 13, 1, 95, -64, -91, -29, -91, -28, 10, 9455, 74221, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 58, 6, 4, fd6f-febe-, 2, 15, 247, 25, 4, 246, 454, 9-10-29-4-11-15-22-18-26-, 144, 16, 13, 1, 94, -64, -91, -29, -91, -28, 11, 7691, 74089, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 60, 0, 7, fd6f-febe-, 2, 17, 294, 21, 4, 246, 517, 11-29-9-15-26-10-4-22-18-, 144, 15, 11, 1, 110, -65, -89, -29, -90, -28, 10, 8629, 73724, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 53, 11, 2, fd6f-febe-, 2, 12, 223, 24, 4, 246, 469, 29-11-15-10-9-26-4-22-, 126, 17, 14, 1, 87, -62, -90, -29, -91, -27, 11, 8547, 77923, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 62, 0, 2, fd6f-febe-, 2, 20, 245, 26, 4, 246, 416, 29-10-11-26-15-9-4-22-, 126, 17, 11, 1, 102, -67, -90, -29, -91, -26, 10, 9436, 70496, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
