label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
bar, 56, 9, 10, 2, 19, 169, 10, 6, 26, 194, 90, 11, 7, 1, 23, -80, -90, -47, -91, -37, 6, 11997, 59009, 1, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 55, 10, 10, 1, 17, 166, 11, 6, 26, 186, 90, 10, 7, 1, 21, -80, -90, -50, -91, -46, 5, 13093, 58275, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 55, 8, 5, 2, 18, 164, 10, 6, 24, 186, 93, 11, 6, 1, 22, -79, -90, -52, -91, -47, 6, 12333, 54224, 1, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 58, 6, 6, 1, 20, 166, 10, 0, 24, 192, 113, 11, 6, 1, 20, -80, -89, -51, -90, -40, 6, 10559, 53259, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bar, 58, 7, 5, 1, 17, 156, 10, 0, 24, 186, 113, 10, 6, 1, 19, -80, -88, -50, -90, -45, 5, 14000, 55104, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
