label, device_count, lost_devices, new_devices, services, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
train, 54, 4, 1, fd6f-febe-, 2, 13, 199, 17, 4, 246, 486, 29-9-11-20-15-22-10-23-26-, 165, 17, 14, 1, 83, -65, -88, -37, -90, -35, 10, 10659, 76524, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 57, 3, 0, fd6f-febe-, 2, 13, 201, 28, 4, 246, 431, 23-29-15-11-9-10-26-20-22-, 165, 19, 12, 1, 98, -66, -89, -36, -91, -33, 10, 11697, 74599, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 60, 1, 3, fd6f-febe-, 2, 13, 216, 20, 4, 246, 464, 20-11-10-15-29-23-26-5-9-22-, 170, 18, 12, 1, 106, -66, -89, -36, -92, -33, 9, 9642, 70916, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 58, 2, 2, fd6f-febe-, 2, 13, 203, 20, 4, 246, 474, 9-11-15-20-29-10-22-26-23-, 165, 19, 13, 1, 104, -66, -87, -35, -91, -33, 10, 9267, 75296, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
train, 58, 0, 1, fd6f-febe-, 2, 13, 211, 22, 4, 246, 464, 9-23-15-26-29-10-20-11-22-, 165, 19, 13, 1, 91, -66, -89, -34, -93, -33, 11, 9015, 72608, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
