label, device_count, lost_devices, new_devices, services, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
train, 65, 6, 0, fd6f-fee0-, 2, 21, 211, 12, 6, 235, 329, 29-11-25-10-9-18-26-, 128, 15, 9, 1, 30, -70, -88, -41, -90, -37, 9, 9760, 69098, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
train, 71, 5, 8, fd6f-fee0-, 2, 23, 202, 11, 6, 26, 331, 10-29-11-9-18-25-26-, 128, 15, 9, 1, 24, -69, -87, -42, -91, -36, 9, 10599, 68633, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
train, 68, 3, 6, fd6f-fee0-, 2, 22, 209, 11, 6, 26, 349, 9-10-29-11-18-25-26-, 128, 15, 9, 1, 54, -71, -89, -42, -92, -34, 9, 12552, 69790, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
train, 65, 4, 3, fd6f-, 1, 20, 200, 11, 6, 26, 321, 9-11-29-10-25-18-26-, 128, 14, 9, 1, 25, -70, -87, -43, -90, -35, 8, 9298, 71544, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
train, 66, 3, 7, fd6f-, 1, 20, 216, 12, 6, 235, 342, 9-11-10-29-18-25-6-, 108, 15, 9, 1, 55, -71, -88, -42, -90, -39, 9, 11244, 68323, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
