label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
cinema, 107, 6, 6, 5, 49, 324, 11, 3, 24, 404, 142, 10, 8, 1, 76, -76, -91, -49, -91, -46, 7, 12223, 66490, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
cinema, 107, 7, 3, 4, 49, 303, 10, 6, 24, 382, 142, 10, 8, 1, 69, -76, -91, -49, -91, -45, 7, 12596, 65216, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
cinema, 111, 4, 4, 5, 50, 321, 11, 3, 24, 357, 142, 11, 7, 1, 20, -76, -92, -46, -92, -42, 7, 12199, 63787, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
cinema, 111, 6, 6, 6, 52, 329, 11, 3, 24, 364, 142, 11, 8, 1, 28, -76, -90, -47, -94, -45, 7, 12567, 65865, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0
cinema, 111, 5, 5, 6, 53, 334, 11, 3, 24, 373, 142, 11, 8, 1, 50, -76, -91, -46, -91, -45, 7, 11795, 63170, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0
