label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
street, 40, 15, 10, 5, 13, 45, 8, 8, 12, 133, 108, 18, 6, 1, 31, -80, -92, -36, -92, -29, 5, 13289, 45585, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
street, 45, 8, 7, 5, 15, 55, 30, 7, 246, 149, 108, 19, 6, 1, 27, -80, -92, -46, -92, -38, 4, 10173, 42899, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0
street, 46, 8, 10, 5, 15, 69, 33, 8, 246, 172, 108, 19, 6, 1, 30, -81, -90, -46, -92, -43, 3, 10529, 45875, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0
street, 44, 5, 10, 4, 13, 75, 28, 7, 246, 167, 108, 18, 6, 1, 22, -80, -91, -46, -91, -44, 3, 10611, 50828, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
street, 39, 16, 8, 4, 12, 57, 38, 7, 246, 145, 108, 19, 6, 1, 17, -80, -89, -46, -90, -41, 4, 10934, 51589, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
