label, device_count, lost_devices, new_devices, services, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
plane, 194, 30, 24, fd6f-fee0-fe89-fe03-febe-fdd2-0af0-, 7, 49, 466, 12, 3, 242, 652, 9-29-10-14-26-20-7-11-25-4-, 155, 15, 6, 1, 65, -73, -91, -34, -91, -31, 6, 11624, 51330, 1, 0, 0, 0, 0, 0, 0, 0, 41, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
plane, 200, 31, 31, fd6f-fe03-febe-fee0-fdd2-fe89-0af0-, 7, 51, 484, 12, 3, 216, 680, 10-29-26-20-9-11-25-14-7-4-8-, 163, 15, 6, 1, 51, -73, -90, -33, -91, -29, 7, 12594, 52014, 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
plane, 200, 28, 28, fd6f-fe03-febe-fdd2-fee0-0af0-fe89-, 7, 50, 489, 12, 3, 216, 732, 9-10-20-29-11-7-4-26-14-25-, 155, 14, 6, 1, 60, -72, -88, -35, -91, -31, 6, 14872, 53700, 1, 0, 0, 0, 0, 0, 0, 0, 43, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0
plane, 200, 28, 30, fd6f-fdd2-febe-fee0-0af0-fe03-, 6, 47, 492, 12, 3, 216, 714, 9-29-10-25-26-14-20-11-4-7-, 155, 15, 6, 1, 67, -73, -91, -37, -91, -35, 6, 11752, 49283, 1, 0, 0, 0, 0, 0, 0, 0, 42, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
plane, 198, 25, 25, fd6f-fe03-fdd2-0af0-fee0-febe-, 6, 50, 454, 13, 3, 242, 640, 9-29-14-10-11-20-26-7-25-, 151, 15, 5, 1, 44, -73, -90, -36, -91, -34, 6, 13452, 51466, 1, 0, 0, 0, 0, 0, 0, 0, 43, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
