label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
park, 5, 0, 1, 1, 2, 10, 8, 8, 12, 24, 50, 21, 9, 1, 18, -65, -90, -47, -90, -42, 10, 4177, 53150, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
park, 4, 2, 0, 1, 1, 12, 8, 8, 12, 28, 50, 21, 12, 1, 22, -60, -86, -48, -86, -43, 7, 4757, 66579, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
park, 6, 2, 1, 2, 3, 12, 8, 8, 12, 27, 50, 20, 8, 1, 21, -67, -86, -49, -88, -44, 5, 5600, 47992, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
park, 7, 0, 3, 1, 3, 11, 8, 8, 12, 26, 50, 21, 7, 1, 17, -71, -89, -51, -89, -44, 8, 6425, 42609, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
park, 4, 2, 1, 1, 1, 12, 8, 8, 12, 28, 50, 21, 12, 1, 22, -61, -89, -51, -89, -45, 11, 4871, 68238, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
