label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 10, 1, 0, 0, 0, 18, 12, 12, 24, 51, 36, 9, 10, 1, 18, -66, -84, -32, -85, -30, 7, 4143, 54058, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98333, 98352, 98352
office, 11, 1, 0, 0, 0, 19, 13, 12, 24, 59, 62, 10, 10, 1, 20, -67, -84, -31, -84, -30, 5, 4819, 53369, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98333, 98352, 98352
office, 12, 1, 1, 0, 0, 22, 12, 12, 24, 56, 91, 11, 9, 1, 21, -68, -83, -32, -84, -30, 3, 10681, 53353, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98333, 98352, 98352
office, 12, 3, 2, 0, 0, 25, 12, 12, 12, 66, 91, 10, 11, 1, 24, -69, -84, -32, -85, -30, 5, 14019, 60733, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98333, 98352, 98352
office, 13, 1, 4, 1, 1, 23, 12, 12, 12, 62, 65, 10, 9, 1, 20, -69, -84, -31, -84, -30, 5, 9507, 50931, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
