label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
home, 22, 2, 0, 1, 3, 107, 14, 3, 26, 194, 122, 17, 17, 1, 83, -70, -84, -53, -90, -53, 7, 8192, 67463, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98401, 98401
home, 24, 2, 1, 1, 3, 107, 14, 3, 26, 203, 151, 17, 16, 1, 76, -70, -86, -54, -89, -53, 6, 14704, 69402, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98401, 98401
home, 25, 0, 0, 1, 3, 118, 13, 3, 26, 214, 122, 16, 16, 2, 85, -70, -84, -54, -88, -53, 7, 19983, 75827, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98401, 98401
home, 25, 1, 0, 1, 3, 108, 13, 3, 26, 207, 122, 17, 16, 1, 82, -71, -86, -53, -89, -53, 6, 13551, 70155, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98401, 98401
home, 26, 0, 0, 1, 3, 103, 14, 8, 26, 202, 151, 17, 15, 1, 80, -71, -87, -54, -89, -53, 5, 7434, 56385, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
