label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
apartment, 14, 1, 1, 3, 5, 31, 10, 8, 12, 57, 51, 15, 10, 2, 58, -74, -89, -58, -91, -56, 2, 16056, 59787, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
apartment, 14, 4, 0, 3, 5, 26, 11, 8, 24, 53, 51, 15, 10, 2, 59, -74, -88, -58, -89, -56, 2, 19614, 63864, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
apartment, 18, 3, 4, 4, 7, 38, 11, 8, 24, 70, 105, 15, 9, 1, 65, -77, -90, -58, -91, -56, 3, 9570, 47112, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
apartment, 17, 2, 3, 3, 6, 36, 9, 0, 12, 66, 77, 15, 9, 1, 65, -75, -89, -58, -90, -56, 3, 14216, 60603, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
apartment, 16, 2, 2, 3, 6, 36, 10, 0, 12, 69, 79, 15, 10, 1, 68, -75, -89, -58, -91, -56, 3, 10830, 52461, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
