label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0
apartment, 9, 3, 0, 1, 2, 46, 5, 1, 12, 48, 36, 9, 18, 2, 48, -76, -88, -58, -89, -55, 6, 6053, 70274, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apartment, 12, 0, 3, 1, 2, 69, 7, 1, 12, 74, 62, 9, 17, 1, 54, -78, -90, -60, -90, -56, 5, 10245, 68268, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apartment, 9, 2, 0, 1, 2, 54, 5, 1, 12, 53, 36, 9, 18, 3, 50, -75, -87, -61, -88, -57, 6, 8850, 74074, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apartment, 11, 2, 1, 1, 2, 56, 6, 1, 12, 54, 36, 9, 15, 1, 51, -78, -92, -61, -92, -57, 6, 8555, 68811, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apartment, 12, 1, 0, 1, 2, 53, 6, 1, 12, 55, 62, 9, 14, 1, 49, -78, -90, -60, -90, -55, 6, 8508, 61306, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
