label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 20, 0, 1, 1, 2, 31, 15, 8, 26, 114, 91, 15, 9, 1, 22, -60, -82, -33, -89, -31, 7, 13831, 60477, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98376, 98377
office, 19, 0, 2, 1, 1, 35, 15, 8, 26, 116, 91, 15, 10, 1, 23, -60, -84, -36, -86, -31, 6, 16609, 69010, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98376, 98377
office, 17, 2, 1, 1, 1, 29, 16, 8, 26, 118, 91, 15, 12, 1, 27, -57, -82, -35, -88, -34, 8, 4959, 61969, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98376, 98377
office, 18, 1, 1, 1, 1, 33, 14, 8, 26, 101, 91, 14, 10, 1, 23, -59, -86, -35, -86, -32, 6, 5764, 56364, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98376, 98377
office, 18, 0, 1, 1, 1, 35, 15, 8, 26, 109, 91, 14, 10, 1, 24, -60, -84, -35, -85, -35, 7, 5449, 55891, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
