label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 20, 3, 0, 1, 2, 39, 14, 8, 26, 115, 109, 17, 10, 2, 24, -60, -87, -36, -88, -31, 7, 20762, 70240, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98384, 98384
office, 23, 1, 1, 1, 2, 39, 15, 8, 26, 109, 109, 17, 8, 1, 22, -65, -89, -36, -89, -33, 5, 12070, 53156, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98384, 98384
office, 23, 0, 4, 1, 2, 46, 14, 8, 26, 122, 109, 17, 9, 1, 27, -64, -88, -31, -88, -31, 5, 10129, 51916, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98384, 98384
office, 19, 3, 0, 1, 2, 40, 14, 8, 26, 103, 109, 17, 10, 1, 25, -61, -86, -35, -88, -34, 5, 10864, 63540, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98342, 98384, 98384
office, 22, 3, 1, 1, 2, 41, 14, 8, 26, 117, 109, 17, 9, 1, 26, -63, -86, -35, -87, -33, 5, 9945, 56476, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
