label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 16, 0, 0, 2, 2, 46, 13, 8, 24, 109, 62, 11, 13, 1, 28, -56, -76, -33, -80, -33, 5, 8258, 63073, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98373, 98373
office, 16, 0, 0, 2, 2, 47, 13, 8, 24, 165, 62, 17, 19, 1, 136, -56, -76, -32, -78, -32, 5, 8957, 65210, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98373, 98373
office, 16, 0, 0, 2, 2, 45, 14, 8, 24, 103, 62, 12, 12, 1, 30, -56, -75, -32, -81, -32, 4, 12693, 67125, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98373, 98373
office, 16, 0, 1, 2, 2, 50, 13, 8, 24, 110, 62, 11, 12, 2, 26, -56, -76, -33, -78, -33, 4, 16106, 71033, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98373, 98373
office, 15, 1, 0, 2, 2, 47, 14, 8, 24, 136, 62, 15, 17, 1, 95, -56, -76, -33, -77, -33, 4, 12563, 68580, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
