label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 17, 0, 0, 2, 3, 18, 16, 8, 24, 182, 62, 20, 12, 1, 140, -66, -88, -35, -88, -35, 7, 9914, 60320, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98390, 98390
office, 17, 0, 2, 2, 3, 21, 17, 8, 24, 113, 62, 16, 13, 1, 29, -66, -87, -39, -87, -36, 6, 7614, 60319, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98390, 98390
office, 15, 2, 0, 2, 2, 22, 16, 8, 24, 203, 62, 18, 26, 1, 131, -64, -90, -43, -90, -41, 8, 9265, 69152, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98390, 98390
office, 17, 0, 0, 2, 3, 21, 14, 8, 24, 105, 62, 12, 12, 1, 31, -64, -82, -38, -88, -35, 9, 14401, 70104, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98339, 98390, 98390
office, 17, 0, 0, 2, 3, 23, 14, 8, 24, 170, 62, 17, 10, 1, 140, -63, -81, -35, -90, -35, 7, 8393, 70946, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
