label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 16, 0, 0, 2, 3, 33, 12, 8, 24, 98, 62, 12, 13, 1, 29, -62, -82, -45, -85, -44, 9, 9762, 66428, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98374, 98374
office, 16, 0, 0, 2, 3, 23, 14, 8, 24, 83, 62, 12, 11, 1, 30, -63, -83, -47, -86, -44, 7, 10881, 64683, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98374, 98374
office, 16, 0, 0, 2, 3, 27, 13, 8, 24, 134, 62, 16, 16, 1, 108, -60, -83, -45, -86, -43, 7, 11755, 64895, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98374, 98374
office, 16, 0, 0, 2, 3, 23, 14, 8, 24, 85, 62, 12, 11, 1, 31, -60, -82, -41, -87, -40, 9, 10873, 67417, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98374, 98374
office, 16, 0, 0, 2, 3, 30, 13, 8, 24, 95, 62, 12, 12, 1, 31, -62, -84, -47, -86, -43, 8, 10192, 67226, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
