label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
lecture, 29, 5, 0, 1, 8, 120, 12, 7, 26, 171, 91, 14, 12, 1, 27, -66, -86, -48, -87, -46, 7, 9880, 68382, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98349, 98416, 98416
lecture, 34, 1, 5, 1, 10, 119, 12, 7, 26, 183, 125, 15, 10, 1, 26, -68, -88, -48, -88, -46, 8, 10302, 60793, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98349, 98416, 98416
lecture, 30, 5, 3, 1, 6, 121, 13, 7, 26, 186, 118, 15, 12, 1, 25, -65, -88, -48, -88, -46, 8, 6367, 63988, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98349, 98416, 98416
lecture, 32, 2, 2, 1, 10, 112, 12, 7, 26, 176, 118, 15, 10, 1, 25, -67, -89, -48, -90, -46, 9, 11309, 64625, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98349, 98416, 98416
lecture, 32, 5, 2, 1, 9, 121, 13, 7, 26, 187, 125, 15, 11, 1, 24, -67, -88, -48, -88, -46, 8, 11912, 68325, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
