label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
transport, 5, 1, 0, 1, 3, 9, 8, 8, 8, 21, 21, 10, 14, 7, 20, -63, -75, -56, -81, -52, 10, 7314, 84996, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98343, 98343
transport, 6, 5, 1, 1, 4, 12, 8, 8, 8, 26, 21, 10, 12, 1, 22, -67, -82, -58, -83, -53, 13, 5837, 73521, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98343, 98343
transport, 10, 0, 5, 1, 5, 12, 10, 8, 26, 53, 36, 10, 10, 1, 40, -71, -89, -55, -89, -52, 5, 2857, 39190, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98343, 98343
transport, 5, 0, 0, 1, 3, 12, 8, 8, 8, 20, 21, 10, 13, 8, 23, -64, -76, -57, -78, -50, 7, 6734, 72465, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98343, 98343
transport, 5, 0, 0, 1, 3, 10, 8, 8, 8, 24, 21, 10, 14, 10, 19, -63, -75, -56, -78, -52, 9, 6373, 81373, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
