label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
home, 30, 2, 2, 3, 5, 111, 15, 8, 26, 254, 170, 15, 12, 1, 29, -74, -90, -46, -90, -45, 5, 9066, 74766, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 98346, 98417, 98417
home, 30, 1, 1, 3, 6, 106, 15, 8, 26, 239, 152, 15, 11, 1, 25, -74, -88, -46, -88, -44, 5, 9653, 71449, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 98346, 98417, 98417
home, 30, 1, 3, 3, 6, 113, 15, 8, 26, 244, 170, 15, 11, 1, 24, -75, -88, -47, -89, -45, 6, 8113, 71374, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 98346, 98417, 98417
home, 28, 3, 1, 3, 5, 105, 15, 8, 26, 239, 164, 15, 12, 1, 25, -74, -87, -46, -89, -45, 6, 7371, 76918, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 98346, 98417, 98417
home, 30, 0, 3, 3, 5, 95, 15, 8, 26, 224, 170, 15, 11, 1, 31, -75, -89, -46, -90, -44, 6, 9734, 69393, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
