label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 11, 2, 1, 1, 1, 19, 10, 1, 12, 70, 53, 10, 12, 1, 30, -67, -83, -43, -83, -42, 5, 12971, 59972, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98359, 98359
office, 12, 2, 0, 1, 1, 18, 11, 1, 12, 73, 53, 10, 11, 2, 30, -68, -83, -43, -85, -42, 4, 16465, 67772, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98359, 98359
office, 14, 0, 2, 1, 2, 26, 10, 1, 24, 89, 62, 11, 11, 1, 28, -70, -85, -43, -85, -42, 4, 10525, 64253, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98359, 98359
office, 12, 0, 2, 1, 1, 20, 10, 1, 12, 83, 53, 12, 12, 2, 31, -68, -83, -42, -84, -41, 5, 14153, 72308, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98334, 98359, 98359
office, 10, 1, 1, 0, 0, 21, 10, 1, 12, 78, 47, 12, 14, 2, 29, -69, -82, -43, -85, -42, 5, 5918, 63654, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
