label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 18, 0, 1, 0, 0, 35, 13, 12, 26, 128, 51, 13, 11, 1, 31, -66, -86, -44, -86, -41, 7, 9858, 65093, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98373, 98373
office, 17, 1, 1, 0, 0, 36, 12, 12, 26, 127, 51, 13, 12, 1, 28, -66, -80, -43, -83, -39, 7, 13958, 69800, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98373, 98373
office, 17, 0, 0, 0, 0, 36, 13, 12, 26, 143, 51, 13, 12, 1, 29, -66, -80, -44, -86, -43, 7, 14579, 75986, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98373, 98373
office, 17, 0, 0, 0, 0, 31, 13, 12, 26, 135, 51, 13, 12, 1, 23, -66, -80, -44, -87, -38, 7, 15579, 72290, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98373, 98373
office, 17, 1, 0, 0, 0, 37, 13, 12, 26, 139, 51, 13, 13, 1, 27, -66, -82, -44, -86, -41, 7, 8323, 66494, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
