label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 18, 0, 1, 2, 2, 48, 12, 8, 24, 168, 80, 16, 17, 1, 46, -71, -86, -42, -86, -39, 8, 7963, 69724, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98387, 98387
office, 17, 3, 1, 2, 2, 49, 13, 8, 24, 176, 80, 17, 18, 1, 50, -71, -86, -42, -86, -41, 8, 8355, 74051, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98387, 98387
office, 19, 1, 4, 2, 3, 47, 14, 8, 24, 134, 62, 13, 12, 1, 32, -72, -85, -42, -85, -38, 8, 4542, 61237, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98387, 98387
office, 16, 3, 0, 2, 2, 50, 13, 8, 24, 141, 80, 14, 16, 1, 34, -70, -85, -42, -87, -41, 9, 7710, 80839, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98337, 98387, 98387
office, 19, 2, 3, 2, 2, 50, 13, 8, 24, 131, 91, 13, 13, 1, 30, -73, -86, -42, -86, -42, 7, 13238, 71462, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
