label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 17, 0, 1, 2, 3, 50, 12, 8, 24, 226, 93, 15, 24, 1, 101, -71, -80, -44, -84, -42, 7, 13072, 71440, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98393, 98393
office, 16, 2, 0, 2, 3, 52, 12, 8, 24, 146, 62, 15, 17, 2, 69, -71, -82, -43, -86, -39, 7, 11234, 76311, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98393, 98393
office, 18, 0, 2, 2, 3, 59, 12, 8, 24, 120, 62, 11, 13, 1, 25, -72, -85, -41, -86, -38, 8, 7986, 66996, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98393, 98393
office, 16, 1, 0, 2, 3, 53, 14, 8, 24, 112, 62, 11, 14, 2, 33, -70, -81, -42, -86, -40, 8, 14070, 76050, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98336, 98393, 98393
office, 17, 1, 1, 2, 3, 43, 11, 8, 24, 100, 62, 11, 12, 1, 29, -71, -81, -41, -88, -38, 9, 14221, 74562, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
