label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
home, 19, 2, 1, 1, 3, 58, 12, 12, 12, 190, 144, 20, 18, 1, 101, -73, -85, -56, -88, -52, 5, 11748, 66434, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98389, 98389
home, 20, 0, 2, 1, 3, 58, 12, 12, 12, 176, 144, 20, 16, 1, 83, -72, -85, -53, -88, -52, 5, 7640, 64458, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98389, 98389
home, 18, 2, 1, 1, 3, 66, 12, 12, 12, 190, 144, 20, 20, 1, 97, -74, -84, -55, -88, -52, 6, 5144, 67790, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98389, 98389
home, 19, 4, 2, 1, 3, 59, 12, 12, 12, 178, 144, 20, 17, 1, 85, -73, -84, -56, -88, -52, 5, 9472, 71971, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98389, 98389
home, 21, 3, 0, 1, 4, 55, 12, 12, 24, 169, 144, 20, 15, 1, 91, -73, -88, -53, -89, -52, 5, 4946, 59804, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
