label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
office, 16, 2, 0, 2, 2, 55, 13, 8, 24, 114, 36, 9, 13, 2, 25, -60, -72, -35, -79, -30, 8, 16859, 73787, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98376, 98376
office, 18, 0, 1, 2, 2, 54, 13, 8, 24, 115, 65, 9, 11, 1, 22, -61, -83, -36, -83, -34, 7, 11448, 64227, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98376, 98376
office, 17, 1, 2, 2, 2, 50, 12, 8, 24, 110, 65, 9, 12, 1, 24, -59, -83, -35, -83, -32, 9, 15994, 68704, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98376, 98376
office, 16, 2, 0, 2, 2, 52, 13, 8, 24, 109, 36, 9, 12, 2, 24, -55, -73, -34, -80, -30, 11, 17090, 75933, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98338, 98376, 98376
office, 18, 0, 1, 2, 2, 53, 13, 8, 24, 121, 65, 10, 12, 1, 29, -59, -83, -35, -83, -34, 9, 15808, 69054, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
