label, device_count, lost_devices, new_devices, different_services, services_count, txpower_count, tx_power_avg, min_txpower, max_txpower, man_packet_len_count, manufacturer_data_lengths_sum, manufacturer_data_len_avg, avg_received, min_received, max_received, avg_avg_rssi, min_avg_rssi, max_avg_rssi, min_rssi, max_rssi, avg_rssi_difference, avg_avg_difference_between_beacons, avg_difference_first_last, 0af0, 1802, 180f, 1812, 1826, 2222, ec88, fd5a, fd6f, fdd2, fddf, fe03, fe07, fe0f, fe61, fe9f, fea0, feb9, febe, fee0, ff0d, ffc0, ffe0, time_point_1, time_point_2, time_point_3
home, 5, 1, 0, 1, 2, 19, 10, 8, 12, 21, 48, 11, 13, 2, 21, -70, -78, -60, -84, -58, 10, 18011, 83998, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98341, 98341
home, 6, 0, 0, 1, 3, 23, 9, 8, 12, 24, 48, 10, 11, 1, 23, -73, -85, -60, -85, -57, 6, 4003, 58915, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98341, 98341
home, 6, 0, 0, 1, 3, 23, 9, 8, 12, 25, 48, 11, 12, 2, 23, -71, -84, -60, -86, -58, 8, 15576, 71098, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98341, 98341
home, 6, 0, 0, 1, 3, 24, 10, 8, 12, 26, 48, 10, 12, 1, 24, -72, -88, -58, -88, -58, 5, 14758, 68429, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98328, 98341, 98341
home, 6, 0, 0, 1, 3, 21, 10, 8, 12, 22, 48, 10, 12, 1, 22, -71, -87, -60, -88, -58, 6, 8124, 63410, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
